title,outlet,date,url,category,covers_black_stops,covers_hispanic_stops,covers_immigration_ice,covers_287g,covers_search_rates,covers_arrest_rates,covers_contraband,covers_disparity_index,covers_agency_level,covers_discretionary_stops,primary_focus,what_it_does_not_cover
"Missouri AG: Small town used traffic ticket quota to collect revenue",Audacy/KMBZ,2018-01-01,https://www.audacy.com/kmbz/articles/missouri-ag-small-town-used-traffic-ticket-quota-collect-revenue,Municipal policing,yes,no,no,no,no,no,no,no,yes,no,Small town ticket quotas for revenue (Randolph MO — 47 people collected $270k in fines),Hispanic trends; immigration; racial disparities
"Missouri Court Knocks Down Law Targeting Biased Policing Revenue Collection",NBC News,2017-07-01,https://www.nbcnews.com/storyline/michael-brown-shooting/missouri-court-knocks-down-law-targeting-biased-policing-revenue-collection-n760551,Municipal policing,yes,no,no,no,no,no,no,no,no,no,Court challenge to post-Ferguson revenue cap law,Hispanic trends; immigration; traffic stop data
"Missouri Supreme Court reaffirms ruling on 2015 law capping revenue from court fines",Jefferson City News-Tribune,2022-04-27,https://www.newstribune.com/news/2022/apr/27/supreme-court-reaffirms-ruling-on-2015-law/,Municipal policing,no,no,no,no,no,no,no,no,no,no,Legal ruling on municipal fine revenue caps,Racial disparities; Hispanic trends; immigration
"New Missouri Gov. Mike Kehoe issues orders to increase arrests and track undocumented migrants",KCUR,2025-01-14,https://www.kcur.org/politics-elections-and-government/2025-01-14/new-missouri-gov-mike-kehoe-issues-orders-to-increase-arrests-and-track-undocumented-migrants,Political context,no,yes,yes,no,no,no,no,no,no,no,Governor's executive orders on immigration enforcement,Traffic stop data; VSR; racial profiling data
"Amid worry over immigration enforcement some local economies pay the price",KBIA,2025-02-24,https://www.kbia.org/kbia-news/2025-02-24/amid-worry-over-immigration-enforcement-some-local-economies-pay-the-price,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Economic impact of ICE fears on Missouri communities,Traffic stop data; VSR; policing patterns
"Raid part of immigration crackdown St. Louis attorney says",STLPR,2025-11-03,https://www.stlpr.org/show/st-louis-on-the-air/2025-11-03/immigration-raid-st-louis-targeted-food-workers-attorney-larger-crackdown,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,ICE raid targeting food workers in St. Louis,Traffic stop data; VSR; systemic patterns
"Hundreds of immigrants fill Missouri jails after ICE arrests",Columbia Missourian,2026-03-31,https://www.columbiamissourian.com/news/state_news/hundreds-of-immigrants-fill-missouri-jails-after-ice-arrests/article_6311dbdb-b45b-4002-b215-626092832b98.html,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,Scale of ICE detention in Missouri jails,Traffic stop data; VSR; how detainees entered the system
"Court documents say trooper falsified reports including racial information for traffic stops",KOMU,2022-03-09,https://www.komu.com/news/midmissourinews/court-documents-say-trooper-falsified-reports-including-racial-information-for-traffic-stops/article_1f60cd76-9f27-11ec-9bf2-4ba88503e0b2.html,Data integrity,yes,no,no,no,yes,no,no,no,no,no,"MSHP trooper Zach Czerniewski charged with 12 misdemeanors for falsifying race of drivers (reported Black drivers as white) and hiding searches. Told colleague supervisor warned him about stopping too many minorities.",Systemic data analysis; Hispanic trends; whether this is widespread
"Trooper charged for allegedly falsifying race info searches on traffic stop reports",ABC17,2022-03-09,https://abc17news.com/news/top-stories/2022/03/09/trooper-charged-for-allegedly-falsifying-race-info-searches-on-traffic-stop-reports/,Data integrity,yes,no,no,no,yes,no,no,no,no,no,Same MSHP trooper case; falsifying VSR racial data,Whether race misclassification affects Hispanic counts; systemic patterns
"Monett meeting helps assuage uneasiness within Hispanic community",Joplin Globe,2017-02-23,https://www.joplinglobe.com/news/monett-meeting-helps-assuage-uneasiness-within-hispanic-community/article_9f7d0626-fd35-11e6-8ae3-03601f0b3724.html,Community impact,no,yes,no,no,no,no,no,no,yes,no,"250 community members met with Monett PD about immigration fears; Chief Daoud said 'We are here for you' regardless of status; Hispanics skipping school and work",Traffic stop data; VSR; enforcement patterns
"Southwest Missouri police department acknowledges ICE presence in town stress limited role",Four States Homepage,2025-01-01,https://www.fourstateshomepage.com/news/carthage-police-acknowledge-ice-presence-stress-limited-role/,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,Carthage PD confirmed ICE agents visiting area; said dept cooperating but not actively assisting,Traffic stop data; VSR; racial disparities in Carthage stops
"Federal judge rules against ICE in the warrantless arrests of 11 KC-area workers",Missouri Independent,2025-10-10,https://missouriindependent.com/2025/10/10/federal-judge-rules-against-ice-in-the-warrantless-arrests-of-11-kc-area-workers/,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,"El Potro restaurant raid in Liberty; ICE came for one person arrested 12; federal judge ruled 11 arrests unlawful; violated 2022 consent decree",Traffic stop data; VSR; policing patterns
"Judge rules against ICE in arrests of Liberty restaurant workers",KCUR,2025-10-10,https://www.kcur.org/news/2025-10-10/ice-kansas-city-el-potro-mexican-cafe-arrests-warrant,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,Same El Potro case; far-reaching implications for due process,Traffic stop data; VSR
"ICE raids Liberty restaurant and detains at least 12 workers",KSHB/Yahoo News,2025-02-08,https://www.yahoo.com/news/ice-raids-liberty-restaurant-detains-234432155.html,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,Initial coverage of El Potro raid; Clay County sheriff confirms,Traffic stop data; VSR; policing patterns
"As ICE threat scares customers Kansas City businesses urged to protect people working for you",KCUR,2025-02-21,https://www.kcur.org/news/2025-02-21/as-ice-threat-scares-customers-kansas-city-businesses-urged-to-protect-people-working-for-you,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Economic impact of ICE fears on KC businesses,Traffic stop data; VSR; policing patterns
"$1000 per person: Missouri lawmaker proposes paying residents to catch undocumented neighbors",KCTV5,2024-12-05,https://www.kctv5.com/2024/12/05/1000-per-person-missouri-lawmaker-proposes-paying-residents-catch-undocumented-neighbors/,Political context,no,yes,yes,no,no,no,no,no,no,no,SB72 bounty bill initially proposed,Traffic stop data; VSR; policing patterns
"These new Missouri bills target immigration; $1K bounty for undocumented immigrants",FOX 2,2025-01-01,https://fox2now.com/news/missouri/these-new-missouri-bills-target-immigration-1k-bounty-for-undocumented-immigrants/,Political context,no,yes,yes,no,no,no,no,no,no,no,Multiple Missouri immigration bills including SB72,Traffic stop data; VSR; policing patterns
"Missouri House speaker sees little interest in immigration bounty bill",STLPR,2025-01-30,https://www.stlpr.org/government-politics-issues/2025-01-30/missouri-house-speaker-little-interest-immigration-bounty-bill,Political context,no,yes,yes,no,no,no,no,no,no,no,SB72 unlikely to pass House,Traffic stop data; VSR
"The State of Police Reform: What has and hasn't changed in St. Louis policing?",Forward Through Ferguson,2020-01-01,https://forwardthroughferguson.org/stateofpolicereform/,Police reform,yes,no,no,no,no,no,no,no,yes,no,Comprehensive assessment of post-Ferguson reform progress in STL region,Hispanic trends; immigration; traffic stop data trends
"Ferguson Consent Decree coordinator wants 'true reform' as decree faces funding cuts",STLPR,2025-11-18,https://www.stlpr.org/government-politics-issues/2025-11-18/ferguson-consent-decree-coordinator-city-progress,Police reform,yes,no,no,no,no,no,no,no,yes,no,Ferguson consent decree still active; funding threatened,Hispanic trends; immigration; statewide patterns
"O'Fallon resident detained by ICE during routine check-in",STLPR,2026-03-20,https://www.stlpr.org/government-politics-issues/2026-03-20/shes-an-absolute-light-one-cameroonians-story-of-being-detained-by-ice-during-routine-check-in,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,Cameroonian O'Fallon resident detained at ICE check-in,Traffic stop data; VSR; policing patterns
"Substantial Race Disparities in Springfield Traffic Stops Blacks Searched at High Rates",Riverfront Times,2017-01-01,https://www.riverfronttimes.com/news/substantial-race-disparities-in-springfield-traffic-stops-blacks-searched-at-high-rates-2612249,VSR coverage,yes,yes,no,no,yes,yes,no,yes,yes,no,"Springfield-specific VSR analysis. Hispanic drivers searched at 15.88 per 100 stops (city avg 12.51); Hispanic arrest rate 10.21 per 100 stops (city avg 6.90); Hispanic investigative stops nearly double city average. One of very few articles to report Hispanic-specific numbers.",Per-capita analysis; immigration; 287(g); trend over time
"Greene County inked contract to jail ICE detainees under Biden administration",Ozarks First,2025-01-01,https://www.ozarksfirst.com/news/investigates/greene-county-inked-contract-to-jail-ice-detainees-under-biden-administration/,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,"Greene County jail contract with ICE predates Trump; amended Oct 2024 to expand capacity; $100+/person/day",Traffic stop data; VSR; how detainees get there
"The Greene County jail sees an average of 240 ICE detainees per day",KY3,2025-09-17,https://www.ky3.com/2025/09/17/greene-county-jail-sees-an-average-240-ice-detainees-per-day/,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,"240 ICE detainees daily in Greene County; Sheriff Arnott confirmed up to 300 capacity",Traffic stop data; VSR; how detainees enter the system
"End Greene County's Contract with ICE petition",MoveOn,2025-01-01,https://sign.moveon.org/petitions/end-greene-county-s-contract-with-ice-stop-the-detention-of-immigrants-in-our-local-jail,Community activism,no,yes,yes,no,no,no,no,no,yes,no,Community petition against Greene County ICE contract,Traffic stop data; VSR
"ICE detentions surge as policies shift from 'non-punitive' to 'significant jail time'",KCTV5,2026-01-24,https://www.kctv5.com/2026/01/24/ice-detentions-surge-policies-shift-non-punitive-significant-jail-time-under-trump/,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,National ICE detention surge; Missouri context,Traffic stop data; VSR
"Immigrant communities develop new rules of the road amid deportation fears",NPR,2025-07-11,https://www.npr.org/2025/07/11/nx-s1-5409325/immigrant-communities-develop-new-rules-of-the-road-amid-deportation-fears,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,"National story: immigrants changing driving habits to avoid stops; towing companies seeing unclaimed cars from ICE detentions",VSR data; Missouri-specific patterns
"St. Louis immigrants fear deportation as ICE texts demand in-person reviews",STLPR,2025-06-04,https://www.stlpr.org/government-politics-issues/2025-06-04/st-louis-immigrants-fear-deportations-ice-mass-texts,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,ICE using texts to summon immigrants to reviews in St. Louis,Traffic stop data; VSR
"Immigrant family hides for their lives in St. Louis as ICE crackdown intensifies",Missouri Independent,2025-07-21,https://missouriindependent.com/2025/07/21/immigrant-family-hides-for-their-lives-in-st-louis-as-ice-crackdown-intensifies/,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Individual family story; living in fear in St. Louis,Traffic stop data; VSR; systemic patterns
"Ongoing federal deportation efforts increase fear and paranoia across St. Louis region",STLPR,2025-01-31,https://www.stlpr.org/government-politics-issues/2025-01-31/federal-deportation-fear-paranoia-st-louis,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Fear spreading across St. Louis Hispanic community,Traffic stop data; VSR
"Missouri trooper admits to hunting for nude photos on women's phones during traffic stops",97X,2024-01-01,https://97x.com/missouri-trooper-arrested-mcknight/,Officer misconduct,no,no,no,no,no,no,no,no,no,no,"MSHP trooper David McKnight searched 9 women's phones for nude photos during traffic stops; pled guilty to 9 federal counts",Racial patterns; Hispanic trends; VSR data
"Pagedale Municipal Fines — Institute for Justice",Institute for Justice,2015-11-01,https://ij.org/case/pagedale-municipal-fines/,Municipal policing,yes,no,no,no,no,no,no,no,yes,no,"Pagedale fined residents for mismatched curtains, BBQ grills; revenue-driven enforcement; class action settled 2018",Hispanic trends; immigration; traffic stop racial data
"St. Louis town agrees to stop bankrolling itself by fining its residents into the poorhouse",Reason,2018-05-21,https://reason.com/2018/05/21/st-louis-town-agrees-to-stop-bankrolling/,Municipal policing,yes,no,no,no,no,no,no,no,yes,no,Pagedale settlement ending revenue-driven code enforcement,Hispanic trends; immigration
"Map of top ticketing police departments in Missouri",St. Louis Post-Dispatch,2010-07-01,https://www.stltoday.com/news/local/crime-courts/map-of-top-ticketing-police-departments-in-missouri/html_3741ed28-7aed-11df-9a08-00127992bc8b.html,Municipal policing,no,no,no,no,no,no,no,no,yes,no,Interactive map of highest-ticketing Missouri PDs,Racial disparities; Hispanic trends; immigration
"NAACP Warns Black Travelers To Use 'Extreme Caution' When Visiting Missouri",NPR,2017-08-03,https://www.npr.org/sections/thetwo-way/2017/08/03/541382961/naacp-warns-black-travelers-to-use-extreme-caution-when-visiting-missouri,Context,yes,no,no,no,no,no,no,yes,no,no,"First-ever NAACP statewide travel advisory; cited 75% higher stop rate for Black drivers; contraband hit rate lower for Black drivers",Hispanic trends; immigration; any mention of Hispanic drivers
"NAACP issues its first statewide travel advisory for Missouri",CNN,2017-08-02,https://www.cnn.com/2017/08/02/us/naacp-missouri-travel-advisory-trnd/index.html,Context,yes,no,no,no,no,no,no,yes,no,no,NAACP travel advisory; Missouri deemed unsafe for minorities,Hispanic trends; immigration
"Here's why the NAACP says Missouri is unsafe for minorities",CNN,2017-08-06,https://www.cnn.com/2017/08/06/us/missouri-naacp-travel-advisory/index.html,Context,yes,no,no,no,no,no,no,no,no,no,Explainer on NAACP Missouri advisory,Hispanic trends; traffic stop data
"Missouri is home of police decertification. It also keeps data showing wandering officers a secret",Gateway Journalism Review / Invisible Institute,2024-09-12,https://gatewayjr.org/missouri-is-home-of-police-decertification-it-also-keeps-data-showing-wandering-officers-a-secret/,Police accountability,no,no,no,no,no,no,no,no,yes,no,"Missouri decertified 1000+ officers since 1988 but hides employment history data; 'muni-shuffle' lets problem officers move between small departments. St. Ann specifically named as refuge for shuffled officers.",Hispanic trends; traffic stop data; immigration
"Wandering cops shuffle between departments abuse citizens",Gateway Journalism Review,2020-01-01,https://gatewayjr.org/wandering-cops-shuffle-between-departments-abuse-citizens/,Police accountability,no,no,no,no,no,no,no,no,yes,no,"STL-area 'muni-shuffle' problem; officers fired from one small department hired by another",Hispanic trends; traffic stop data
"How Often Are Missouri Police Officers Disciplined for Misconduct?",The Marshall Project,2025-09-18,https://www.themarshallproject.org/2025/09/18/missouri-police-officer-misconduct-database,Police accountability,no,no,no,no,no,no,no,no,yes,no,Missouri police misconduct data analysis,Hispanic trends; traffic stop data; immigration
"Gov. Mike Kehoe signs bill to put St. Louis police under state control",Missouri Independent,2025-03-26,https://missouriindependent.com/2025/03/26/gov-mike-kehoe-signs-bill-to-put-st-louis-police-under-state-control/,Political context,yes,no,no,no,no,no,no,no,yes,no,"State takeover of STL PD; Democrats called it racist; passed on party-line vote",Hispanic trends; traffic stop data; immigration
"Nonprofit sues Missouri to stop state takeover of St. Louis Police: 'Punishing a Black city'",KCUR,2025-06-06,https://www.kcur.org/news/2025-06-06/missouri-st-louis-police-lawsuit-archcity-defenders,Political context,yes,no,no,no,no,no,no,no,yes,no,ArchCity Defenders lawsuit against STL police state takeover,Hispanic trends; traffic stop data
"Ste. Genevieve 'Abide' activists support ICE detainees at county jail",STLPR,2025-09-03,https://www.stlpr.org/government-politics-issues/2025-09-03/activists-in-ste-genevieve-connect-ice-detainees-with-their-families,Community activism,no,yes,yes,no,no,no,no,no,yes,no,Abide in Love connecting ICE detainees with families in Ste. Genevieve,Traffic stop data; VSR; how detainees entered the system
"A Missouri jail cuts ties with ICE citing costs to house detainees",KCUR,2025-08-22,https://www.kcur.org/news/2025-08-22/a-missouri-jail-cuts-ties-with-ice-citing-costs-to-house-detainees,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,"Phelps County jail suspended ICE contract; $85/night didn't cover costs",Traffic stop data; VSR
"Missouri jail is taking in ICE detainees again but doesn't explain why",KCUR,2025-10-28,https://www.kcur.org/news/2025-10-28/missouri-jail-is-taking-in-ice-detainees-again-but-doesnt-explain-why,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,Phelps County jail resumed ICE detention after 2-month pause with no explanation,Traffic stop data; VSR
"Immigrant communities develop new rules of the road amid deportation fears",NPR,2025-07-11,https://www.npr.org/2025/07/11/nx-s1-5409325/immigrant-communities-develop-new-rules-of-the-road-amid-deportation-fears,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,"National: immigrants changing driving habits; towing companies see unclaimed cars from deported drivers",VSR data; Missouri-specific patterns
"Immigrant family hides for their lives in St. Louis as ICE crackdown intensifies",Missouri Independent,2025-07-21,https://missouriindependent.com/2025/07/21/immigrant-family-hides-for-their-lives-in-st-louis-as-ice-crackdown-intensifies/,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Individual family story in St. Louis; living in hiding,Traffic stop data; VSR; systemic patterns
"Ongoing federal deportation efforts increase fear and paranoia across St. Louis region",STLPR,2025-01-31,https://www.stlpr.org/government-politics-issues/2025-01-31/federal-deportation-fear-paranoia-st-louis,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,Fear and paranoia in STL Hispanic community,Traffic stop data; VSR
"St. Louis immigrants fear deportation as ICE texts demand in-person reviews",STLPR,2025-06-04,https://www.stlpr.org/government-politics-issues/2025-06-04/st-louis-immigrants-fear-deportations-ice-mass-texts,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,ICE using mass texts to summon people in St. Louis,Traffic stop data; VSR
"After state report finds racial disparity in traffic stops advocates and lawmakers call for change",FOX 4 KC,2019-06-04,https://fox4kc.com/news/after-state-report-finds-racial-disparity-in-traffic-stops-advocates-and-lawmakers-call-for-change/,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,2018 VSR coverage; advocates call for reform,Hispanic trends; any data analysis
"Traffic stop data shows racial disparities",Fulton Sun,2020-06-16,https://www.fultonsun.com/news/2020/jun/16/Traffic-stop-data-shows-racial-disparities/,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,Local coverage of 2019 VSR data,Hispanic trends; any detailed analysis
"As Missouri Hispanic population grows building trust is key to bridging cultural gap",Missouri Independent,2021-10-04,https://missouriindependent.com/2021/10/04/as-missouri-hispanic-population-grows-building-trust-is-key-to-bridging-cultural-gap/,Demographic context,no,yes,no,no,no,no,no,no,no,no,Missouri Hispanic population growth; trust-building between communities and institutions,Traffic stop data; VSR; policing patterns
"Missouri's Latino population has boomed. So why did the state's Hispanic commission disappear?",KCUR,2022-10-05,https://www.kcur.org/news/2022-10-05/missouris-latino-population-has-boomed-so-why-did-the-states-hispanic-commission-disappear,Demographic context,no,yes,no,no,no,no,no,no,no,no,"Hispanic population up 40%+ but state disbanded the Hispanic commission 14 years ago; no state-level advocacy infrastructure",Traffic stop data; VSR; policing patterns
"Latest census data shows the largest-ever Hispanic population increase in the St. Louis region",STLPR,2024-09-16,https://www.stlpr.org/race-identity-and-faith/2024-09-16/st-louis-region-sees-largest-hispanic-population-increase-census,Demographic context,no,yes,no,no,no,no,no,no,no,no,"110,400 Hispanic residents in STL area, up from 80,000 a decade ago",Traffic stop data; VSR; policing patterns
"Missouri has one of the lowest percentages of Latinos in the Midwest. Here's why it matters.",KBIA,2022-08-01,https://www.kbia.org/news/2022-08-01/missouri-has-one-of-the-lowest-percentages-of-latinos-in-the-midwest-heres-why-it-matters,Demographic context,no,yes,no,no,no,no,no,no,no,no,Missouri's relatively small but growing Hispanic population; political underrepresentation,Traffic stop data; VSR; policing patterns
"Columbia Boone County ICE policies rely on officer discretion",KBIA,2025-02-18,https://www.kbia.org/kbia-news/2025-02-18/columbia-boone-county-ice-policies-rely-on-officer-discretion,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,"Columbia PD only checks immigration status after formal arrest; Boone County sheriff says immigration not their focus. Policies rely on individual officer discretion.",Traffic stop data; VSR; racial disparities
"How will local law enforcement address federal immigration plans?",Columbia Missourian,2025-01-20,https://www.columbiamissourian.com/news/local/how-will-local-law-enforcement-address-federal-immigration-plans/article_e50c6caa-d9b3-11ef-b9e2-ebdfe4dd7980.html,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,Columbia-area law enforcement response to Trump immigration orders,Traffic stop data; VSR; racial disparities
"DACA recipients are being arrested despite deportation protection",PBS NewsHour,2025-12-11,https://www.pbs.org/newshour/nation/daca-recipients-are-being-arrested-despite-deportation-protection,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,National: DACA recipients detained despite protections; López Delara case referenced,Missouri-specific data; VSR
"DHS urges DACA recipients to self-deport",NPR,2025-07-29,https://www.npr.org/2025/07/29/nx-s1-5482923/dhs-daca-recipients-self-deport,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,National: DHS tells DACA recipients to leave voluntarily,Missouri-specific data; VSR
"Missouri trooper admits to hunting for nude photos on women's phones during traffic stops",97X,2024-01-01,https://97x.com/missouri-trooper-arrested-mcknight/,Officer misconduct,no,no,no,no,no,no,no,no,no,no,"MSHP trooper David McKnight searched 9 women's phones during traffic stops; pled guilty to 9 federal deprivation of rights counts",Racial patterns; Hispanic trends; VSR data
"Missouri town offers clues about life with a Tyson plant",Seattle Times,2009-12-01,https://www.seattletimes.com/nation-world/missouri-town-offers-clues-about-life-with-a-tyson-plant/,Demographic context,no,yes,no,no,no,no,no,no,no,no,"Noel MO transformed by poultry plant; 41.5% Hispanic by 2020; 65% of workforce Hispanic in late 1990s",Traffic stop data; VSR; policing patterns
"An International Melting Pot in Rural Southwest Missouri",If You Want My Opinion (blog),2024-02-20,https://ifyouwantmyopinion.net/2024/02/20/an-international-melting-pot-in-rural-southwest-missouri/,Demographic context,no,yes,no,no,no,no,no,no,no,no,McDonald County demographic transformation via poultry industry,Traffic stop data; VSR; policing patterns
"ICE concerns in Columbia Missouri sparks immigrant care package drive",KCUR,2025-10-15,https://www.kcur.org/news/2025-10-15/ice-concerns-columbia-missouri-immigrant-care-packages,Community activism,no,yes,yes,no,no,no,no,no,no,no,"Como Comunidad organizing care packages for immigrants afraid of public gatherings",Traffic stop data; VSR
"Traffic stop lands Missouri man in ICE custody. Next stop: rural jail",KBIA,2026-02-21,https://www.kbia.org/missouri-news/2026-02-21/traffic-stop-lands-missouri-man-in-ice-custody-next-stop-rural-jail,Traffic stop to ICE,no,yes,yes,no,no,no,no,no,yes,no,"López Delara case; towing company says many cars from O'Fallon never picked up because driver deported",VSR data; statewide patterns
"Jasper County Sheriff's Office releases 2025 year-end report",KOAM,2026-01-01,https://www.koamnewsnow.com/news/jasper-county-sheriff-s-office-releases-2025-year-end-report/article_c5176602-6577-4bbe-a60f-55d453bb29f6.html,Agency reporting,no,no,no,no,no,no,no,no,yes,no,Jasper County Sheriff annual report — 219 ICE detainers in our data,Traffic stop data; VSR; racial disparities; immigration
"Cambio de Colores 2025: Vivimos Aquí",MU Extension / Cambio Center,2025-06-04,https://cambio.missouri.edu/cambio-de-colores-2025/,Demographic context,no,yes,no,no,no,no,no,no,no,no,"Annual conference on Hispanic/Latino integration in Missouri; 2025 theme 'We Live Here'; research and policy",Traffic stop data; VSR; policing
"How is your local government collaborating with ICE? Here's how to find out — and push back",Prison Policy Initiative,2026-02-23,https://www.prisonpolicy.org/blog/2026/02/23/ice_county_collaboration/,287(g) coverage,no,no,yes,yes,no,no,no,no,no,no,National guide to finding and challenging local ICE agreements,Missouri-specific data; VSR
"In Branson Missouri employers vie for Puerto Rican workforce",PBS NewsHour,2018-07-28,https://www.pbs.org/newshour/show/in-branson-missouri-employers-vie-for-puerto-rican-workforce,Demographic context,no,yes,no,no,no,no,no,no,no,no,"Branson recruiting Puerto Ricans to fill 2000+ vacancies in tourism; H-2B visa dependence; growing Hispanic workforce",Traffic stop data; VSR; policing patterns
"ICE has a new courthouse tactic: Get immigrants' cases tossed then arrest them outside",Missouri Independent,2025-08-13,https://missouriindependent.com/2025/08/13/ice-has-a-new-courthouse-tactic-get-immigrants-cases-tossed-then-arrest-them-outside/,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,"ICE dismissing cases to strip protections then arresting outside courthouses; 633% increase in oral motions to dismiss",Traffic stop data; VSR; policing patterns
"Kilmar Abrego Garcia wrongly deported to El Salvador prison to face federal charges in Nashville",Missouri Independent,2025-06-09,https://missouriindependent.com/2025/06/09/kilmar-abrego-garcia-wrongly-deported-to-el-salvador-prison-to-face-federal-charges-in-nashville/,Immigration enforcement,no,yes,yes,no,no,no,no,no,no,no,"Abrego Garcia was a construction worker commuting from St. Louis when stopped in TN; wrongly deported; became national case",Traffic stop data; VSR
"The worst places to drive while black in Missouri",St. Louis American,2009-01-01,https://www.stlamerican.com/news/political-eye/the-worst-places-to-drive-while-black-in-missouri/,VSR coverage,yes,no,no,no,no,no,no,yes,yes,no,"Named specific municipalities — Ladue, Arnold, Town and Country, Florissant, Maryland Heights, Overland, Chesterfield, Bridgeton, Creve Coeur, Clayton, Ballwin, Hazelwood, St. Charles as worst for Black drivers",Hispanic trends; immigration; post-stop outcomes
"Attorney General's Office releases annual vehicle stops report",Missouri Times,2024-06-01,https://themissouritimes.com/attorney-generals-office-releases-annual-vehicle-stops-report/,VSR coverage,yes,no,no,no,no,no,no,yes,no,no,Brief coverage of 2023 VSR release,Hispanic trends; any analysis; discretionary stops
"In Kansas City fear of immigration enforcement is growing. Faith leaders suggest ways to help",KCUR,2026-02-03,https://www.kcur.org/politics-elections-and-government/2026-02-03/fear-immigration-enforcement-kansas-city-faith-leaders-more2-help,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,"KC faith leaders responding to immigration fears; parallels drawn to civil rights era policing",Traffic stop data; VSR
"Rumors drive fear in St. Louis as Trump's immigration plans turn deadly in Minneapolis",STLPR,2026-02-05,https://www.stlpr.org/government-politics-issues/2026-02-05/st-louis-year-immigration-enforcement-misinformation-anxiety,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,"Misinformation and fear spreading in STL Hispanic community; school disruptions; Ritenour district Hispanic population growing 7%",Traffic stop data; VSR; policing patterns
"Valentine's Law used in traffic stop from Chesterfield PD",FOX 2 St. Louis,2024-01-01,https://fox2now.com/news/missouri/valentines-law-used-in-traffic-stop-from-chesterfield-pd/,Policing news,no,no,no,no,no,no,no,no,yes,no,Chesterfield PD traffic stop involving Valentine's Law (officer safety during stops),Hispanic trends; racial disparities; immigration
"ACLU Guidance for Places of Worship: Immigration Enforcement",ACLU of Missouri,2025-01-20,https://www.aclu-mo.org/know-your-rights/guidance-places-worship-immigration-enforcement/,Immigration impact,no,yes,yes,no,no,no,no,no,no,no,"ACLU guidance for Missouri churches after Trump rescinded protected locations policy Jan 20 2025",Traffic stop data; VSR; policing
"Wandering cops — St. Louis professor has waged long crusade to end abuse",Missouri Independent,2021-09-17,https://missouriindependent.com/2021/09/17/st-louis-professor-has-waged-long-crusade-to-end-abuse-from-wandering-cops/,Police accountability,no,no,no,no,no,no,no,no,yes,no,"Roger Goldman's decades-long campaign against 'muni-shuffle'; officers moving between small STL-area departments after misconduct",Hispanic trends; traffic stop data; immigration
"St. Louis has lost hundreds of cops. Here's why some say they left.",St. Louis Post-Dispatch,2023-08-01,https://www.stltoday.com/news/local/crime-courts/st-louis-has-lost-hundreds-of-cops-here-s-why-some-say-they-left/article_c776e62a-36df-11ee-9330-6b042eb7959a.html,Police staffing,no,no,no,no,no,no,no,no,yes,no,STL PD staffing crisis; officers leaving for smaller departments. Where do they go?,Hispanic trends; traffic stop data; immigration
"Rural Missouri Jails Want ICE Contracts. An Immigrant's Death Shows the Risks.",The Marshall Project,2025-05-19,https://www.themarshallproject.org/2025/05/19/ice-detention-rural-missouri-jails,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,"Brayan Garzón 27 died of suicide in Phelps County Jail April 2024; rural jails doubling capacity for ICE contracts; Ozark County; Missouri has no statewide jail standards",Traffic stop data; VSR; how detainees entered the system
"Rural Missouri jails see windfall in Donald Trump's mass deportation effort",Missouri Independent,2025-05-19,https://missouriindependent.com/2025/05/19/rural-missouri-jails-see-windfall-in-donald-trumps-mass-deportation-effort/,Immigration enforcement,no,yes,yes,no,no,no,no,no,yes,no,"Same story: rural jails as profit centers; Phelps County expanded to 400 beds; ICE plans $45B in new detention contracts",Traffic stop data; VSR
